organizationc,scorec
Hortonworks,1075.178508
Red Hat,889.7339494
Ampool,430.402381
IBM,419.9825258
Fitbit,371.0069597
Schubergphilis,340
Cloudera,338.7133561
Confluent,256.7325119
Intel,181.295116
Talend,174
