organizationb,scoreb
Hortonworks,0.712
Cloudera,0.613793103
IBM,0.609589041
Confluent,0.593333333
Intel,0.581699346
Yahoo,0.559748428
Avvo,0.542682927
Facebook,0.536144578
NTent,0.536144578
Fitbit,0.532934132
