project,sum
kafka,935
knox,146
kylin,654
lens,136
libcloud,217
mahout,211
oozie,130
openmeetings,1010
orc,64
phoenix,957
rampart,58
reef,270
samza,40
servicemix,414
spark,2948
sqoop,165
steve,276
storm,2620
syncope,755
tajo,138
